scenario_id,alert_id,incident_id,is_true_alert,is_root_cause_alert
scen_000000,alt_scen_000000_00001,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00002,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00003,inc_scen_000000_02,True,False
scen_000000,alt_scen_000000_00004,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00005,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00006,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00007,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00008,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00009,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00010,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00011,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00012,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00013,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00014,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00015,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00016,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00017,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00018,inc_scen_000000_02,True,False
scen_000000,alt_scen_000000_00019,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00020,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00021,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00022,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00023,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00024,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00025,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00026,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00027,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00028,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00029,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00030,inc_scen_000000_02,True,False
scen_000000,alt_scen_000000_00031,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00032,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00033,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00034,inc_scen_000000_02,True,False
scen_000000,alt_scen_000000_00035,inc_scen_000000_02,True,True
scen_000000,alt_scen_000000_00036,,False,False
scen_000000,alt_scen_000000_00037,,False,False
scen_000001,alt_scen_000001_00001,,False,False
scen_000001,alt_scen_000001_00002,,False,False
scen_000001,alt_scen_000001_00003,,False,False
scen_000001,alt_scen_000001_00004,,False,False
scen_000001,alt_scen_000001_00005,,False,False
scen_000001,alt_scen_000001_00006,,False,False
scen_000002,alt_scen_000002_00001,,False,False
scen_000002,alt_scen_000002_00002,,False,False
scen_000003,alt_scen_000003_00001,,False,False
scen_000003,alt_scen_000003_00002,,False,False
scen_000003,alt_scen_000003_00003,,False,False
scen_000003,alt_scen_000003_00004,,False,False
scen_000004,alt_scen_000004_00001,,False,False
scen_000004,alt_scen_000004_00002,,False,False
scen_000004,alt_scen_000004_00003,,False,False
scen_000004,alt_scen_000004_00004,,False,False
scen_000005,alt_scen_000005_00001,,False,False
scen_000005,alt_scen_000005_00002,,False,False
scen_000005,alt_scen_000005_00003,,False,False
scen_000005,alt_scen_000005_00004,,False,False
scen_000005,alt_scen_000005_00005,,False,False
scen_000005,alt_scen_000005_00006,,False,False
scen_000006,alt_scen_000006_00001,,False,False
scen_000006,alt_scen_000006_00002,,False,False
scen_000006,alt_scen_000006_00003,,False,False
scen_000006,alt_scen_000006_00004,,False,False
scen_000006,alt_scen_000006_00005,,False,False
scen_000006,alt_scen_000006_00006,,False,False
scen_000007,alt_scen_000007_00001,,False,False
scen_000007,alt_scen_000007_00002,,False,False
scen_000007,alt_scen_000007_00003,,False,False
scen_000007,alt_scen_000007_00004,,False,False
scen_000007,alt_scen_000007_00005,,False,False
scen_000008,alt_scen_000008_00001,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00002,inc_scen_000008_02,True,False
scen_000008,alt_scen_000008_00003,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00004,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00005,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00006,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00007,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00008,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00009,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00010,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00011,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00012,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00013,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00014,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00015,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00016,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00017,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00018,inc_scen_000008_02,True,False
scen_000008,alt_scen_000008_00019,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00020,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00021,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00022,inc_scen_000008_02,True,False
scen_000008,alt_scen_000008_00023,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00024,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00025,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00026,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00027,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00028,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00029,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00030,inc_scen_000008_02,True,False
scen_000008,alt_scen_000008_00031,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00032,inc_scen_000008_02,True,True
scen_000008,alt_scen_000008_00033,,False,False
scen_000008,alt_scen_000008_00034,,False,False
scen_000008,alt_scen_000008_00035,,False,False
scen_000009,alt_scen_000009_00001,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00002,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00003,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00004,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00005,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00006,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00007,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00008,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00009,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00010,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00011,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00012,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00013,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00014,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00015,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00016,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00017,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00018,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00019,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00020,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00021,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00022,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00023,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00024,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00025,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00026,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00027,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00028,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00029,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00030,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00031,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00032,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00033,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00034,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00035,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00036,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00037,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00038,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00039,inc_scen_000009_01,True,False
scen_000009,alt_scen_000009_00040,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00041,inc_scen_000009_01,True,True
scen_000009,alt_scen_000009_00042,inc_scen_000009_01,True,True
