scenario_id,alert_a_id,alert_b_id,time_difference_seconds,same_service,same_trace,same_request,same_metric_family,same_severity,dependency_exists,topological_distance,upstream_downstream_relation,semantic_similarity,temporal_overlap,same_incident
scen_000000,alt_scen_000000_00001,alt_scen_000000_00003,19.8,1,0,0,1,1,0,0,0,0.46,1,1
scen_000000,alt_scen_000000_00001,alt_scen_000000_00002,20.0,1,0,0,1,1,0,0,0,0.28,1,1
scen_000000,alt_scen_000000_00001,alt_scen_000000_00004,50.0,1,0,0,1,1,0,0,0,0.33,1,1
scen_000000,alt_scen_000000_00001,alt_scen_000000_00005,130.0,1,0,0,1,1,0,0,0,0.78,1,1
scen_000000,alt_scen_000000_00001,alt_scen_000000_00006,150.0,1,0,0,1,1,0,0,0,0.2,1,1
scen_000000,alt_scen_000000_00001,alt_scen_000000_00007,170.0,1,0,0,1,1,0,0,0,0.66,1,1
scen_000000,alt_scen_000000_00001,alt_scen_000000_00008,180.0,1,0,0,1,1,0,0,0,0.28,1,1
scen_000000,alt_scen_000000_00001,alt_scen_000000_00009,340.0,1,0,0,1,1,0,0,0,0.38,0,1
scen_000000,alt_scen_000000_00001,alt_scen_000000_00036,349.0,0,0,0,0,0,1,1,-1,0.1,0,0
scen_000000,alt_scen_000000_00003,alt_scen_000000_00002,0.2,1,0,0,1,1,0,0,0,0.48,1,1
scen_000000,alt_scen_000000_00003,alt_scen_000000_00004,30.2,1,0,0,1,1,0,0,0,0.2,1,1
scen_000000,alt_scen_000000_00003,alt_scen_000000_00005,110.2,1,0,0,1,1,0,0,0,0.79,1,1
scen_000000,alt_scen_000000_00003,alt_scen_000000_00006,130.2,1,0,0,1,1,0,0,0,0.18,1,1
scen_000000,alt_scen_000000_00003,alt_scen_000000_00007,150.2,1,0,0,1,1,0,0,0,0.3,1,1
scen_000000,alt_scen_000000_00003,alt_scen_000000_00008,160.2,1,0,0,1,1,0,0,0,0.11,1,1
scen_000000,alt_scen_000000_00003,alt_scen_000000_00009,320.2,1,0,0,1,1,0,0,0,0.89,0,1
scen_000000,alt_scen_000000_00003,alt_scen_000000_00036,329.2,0,0,0,0,0,1,1,-1,0.61,0,0
scen_000000,alt_scen_000000_00003,alt_scen_000000_00010,330.2,1,0,0,1,1,0,0,0,0.61,0,1
scen_000000,alt_scen_000000_00002,alt_scen_000000_00004,30.0,1,0,0,1,1,0,0,0,0.52,1,1
scen_000000,alt_scen_000000_00002,alt_scen_000000_00005,110.0,1,0,0,1,1,0,0,0,0.79,1,1
scen_000000,alt_scen_000000_00002,alt_scen_000000_00006,130.0,1,0,0,1,1,0,0,0,0.22,1,1
scen_000000,alt_scen_000000_00002,alt_scen_000000_00007,150.0,1,0,0,1,1,0,0,0,0.73,1,1
scen_000000,alt_scen_000000_00002,alt_scen_000000_00008,160.0,1,0,0,1,1,0,0,0,0.75,1,1
scen_000000,alt_scen_000000_00002,alt_scen_000000_00009,320.0,1,0,0,1,1,0,0,0,0.13,0,1
scen_000000,alt_scen_000000_00002,alt_scen_000000_00036,329.0,0,0,0,0,0,1,1,-1,0.21,0,0
scen_000000,alt_scen_000000_00002,alt_scen_000000_00010,330.0,1,0,0,1,1,0,0,0,0.54,0,1
scen_000000,alt_scen_000000_00002,alt_scen_000000_00011,340.0,1,0,0,1,1,0,0,0,0.17,0,1
scen_000000,alt_scen_000000_00004,alt_scen_000000_00005,80.0,1,0,0,1,1,0,0,0,0.33,1,1
scen_000000,alt_scen_000000_00004,alt_scen_000000_00006,100.0,1,0,0,1,1,0,0,0,0.42,1,1
scen_000000,alt_scen_000000_00004,alt_scen_000000_00007,120.0,1,0,0,1,1,0,0,0,0.23,1,1
scen_000000,alt_scen_000000_00004,alt_scen_000000_00008,130.0,1,0,0,1,1,0,0,0,0.66,1,1
scen_000000,alt_scen_000000_00004,alt_scen_000000_00009,290.0,1,0,0,1,1,0,0,0,0.5,1,1
scen_000000,alt_scen_000000_00004,alt_scen_000000_00036,299.0,0,0,0,0,0,1,1,-1,0.61,1,0
scen_000000,alt_scen_000000_00004,alt_scen_000000_00010,300.0,1,0,0,1,1,0,0,0,0.48,1,1
scen_000000,alt_scen_000000_00004,alt_scen_000000_00011,310.0,1,0,0,1,1,0,0,0,0.43,0,1
scen_000000,alt_scen_000000_00004,alt_scen_000000_00012,320.0,1,0,0,1,1,0,0,0,0.49,0,1
scen_000000,alt_scen_000000_00005,alt_scen_000000_00006,20.0,1,0,0,1,1,0,0,0,0.82,1,1
scen_000000,alt_scen_000000_00005,alt_scen_000000_00007,40.0,1,0,0,1,1,0,0,0,0.42,1,1
scen_000000,alt_scen_000000_00005,alt_scen_000000_00008,50.0,1,0,0,1,1,0,0,0,0.61,1,1
scen_000000,alt_scen_000000_00005,alt_scen_000000_00009,210.0,1,0,0,1,1,0,0,0,0.77,1,1
scen_000000,alt_scen_000000_00005,alt_scen_000000_00036,219.0,0,0,0,0,0,1,1,-1,0.6,1,0
scen_000000,alt_scen_000000_00005,alt_scen_000000_00010,220.0,1,0,0,1,1,0,0,0,0.28,1,1
scen_000000,alt_scen_000000_00005,alt_scen_000000_00011,230.0,1,0,0,1,1,0,0,0,0.2,1,1
scen_000000,alt_scen_000000_00005,alt_scen_000000_00012,240.0,1,0,0,1,1,0,0,0,0.57,1,1
scen_000000,alt_scen_000000_00005,alt_scen_000000_00037,245.0,0,0,0,0,0,1,1,-1,0.68,1,0
scen_000000,alt_scen_000000_00006,alt_scen_000000_00007,20.0,1,0,0,1,1,0,0,0,0.71,1,1
scen_000000,alt_scen_000000_00006,alt_scen_000000_00008,30.0,1,0,0,1,1,0,0,0,0.66,1,1
scen_000000,alt_scen_000000_00006,alt_scen_000000_00009,190.0,1,0,0,1,1,0,0,0,0.1,1,1
scen_000000,alt_scen_000000_00006,alt_scen_000000_00036,199.0,0,0,0,0,0,1,1,-1,0.72,1,0
scen_000000,alt_scen_000000_00006,alt_scen_000000_00010,200.0,1,0,0,1,1,0,0,0,0.58,1,1
scen_000000,alt_scen_000000_00006,alt_scen_000000_00011,210.0,1,0,0,1,1,0,0,0,0.89,1,1
scen_000000,alt_scen_000000_00006,alt_scen_000000_00012,220.0,1,0,0,1,1,0,0,0,0.71,1,1
scen_000000,alt_scen_000000_00006,alt_scen_000000_00037,225.0,0,0,0,0,0,1,1,-1,0.44,1,0
scen_000000,alt_scen_000000_00006,alt_scen_000000_00013,270.0,1,0,0,1,1,0,0,0,0.64,1,1
scen_000000,alt_scen_000000_00007,alt_scen_000000_00008,10.0,1,0,0,1,1,0,0,0,0.59,1,1
scen_000000,alt_scen_000000_00007,alt_scen_000000_00009,170.0,1,0,0,1,1,0,0,0,0.37,1,1
scen_000000,alt_scen_000000_00007,alt_scen_000000_00036,179.0,0,0,0,0,0,1,1,-1,0.53,1,0
scen_000000,alt_scen_000000_00007,alt_scen_000000_00010,180.0,1,0,0,1,1,0,0,0,0.26,1,1
scen_000000,alt_scen_000000_00007,alt_scen_000000_00011,190.0,1,0,0,1,1,0,0,0,0.17,1,1
scen_000000,alt_scen_000000_00007,alt_scen_000000_00012,200.0,1,0,0,1,1,0,0,0,0.69,1,1
scen_000000,alt_scen_000000_00007,alt_scen_000000_00037,205.0,0,0,0,0,0,1,1,-1,0.41,1,0
scen_000000,alt_scen_000000_00007,alt_scen_000000_00013,250.0,1,0,0,1,1,0,0,0,0.7,1,1
scen_000000,alt_scen_000000_00007,alt_scen_000000_00014,360.0,1,0,0,1,1,0,0,0,0.49,0,1
scen_000000,alt_scen_000000_00008,alt_scen_000000_00009,160.0,1,0,0,1,1,0,0,0,0.75,1,1
scen_000000,alt_scen_000000_00008,alt_scen_000000_00036,169.0,0,0,0,0,0,1,1,-1,0.69,1,0
scen_000000,alt_scen_000000_00008,alt_scen_000000_00010,170.0,1,0,0,1,1,0,0,0,0.71,1,1
scen_000000,alt_scen_000000_00008,alt_scen_000000_00011,180.0,1,0,0,1,1,0,0,0,0.44,1,1
scen_000000,alt_scen_000000_00008,alt_scen_000000_00012,190.0,1,0,0,1,1,0,0,0,0.87,1,1
scen_000000,alt_scen_000000_00008,alt_scen_000000_00037,195.0,0,0,0,0,0,1,1,-1,0.42,1,0
scen_000000,alt_scen_000000_00008,alt_scen_000000_00013,240.0,1,0,0,1,1,0,0,0,0.73,1,1
scen_000000,alt_scen_000000_00008,alt_scen_000000_00014,350.0,1,0,0,1,1,0,0,0,0.49,0,1
scen_000000,alt_scen_000000_00008,alt_scen_000000_00015,370.0,1,0,0,1,1,0,0,0,0.29,0,1
scen_000000,alt_scen_000000_00009,alt_scen_000000_00036,9.0,0,0,0,0,0,1,1,-1,0.6,1,0
scen_000000,alt_scen_000000_00009,alt_scen_000000_00010,10.0,1,0,0,1,1,0,0,0,0.48,1,1
scen_000000,alt_scen_000000_00009,alt_scen_000000_00011,20.0,1,0,0,1,1,0,0,0,0.31,1,1
scen_000000,alt_scen_000000_00009,alt_scen_000000_00012,30.0,1,0,0,1,1,0,0,0,0.41,1,1
scen_000000,alt_scen_000000_00009,alt_scen_000000_00037,35.0,0,0,0,0,0,1,1,-1,0.23,1,0
scen_000000,alt_scen_000000_00009,alt_scen_000000_00013,80.0,1,0,0,1,1,0,0,0,0.89,1,1
scen_000000,alt_scen_000000_00009,alt_scen_000000_00014,190.0,1,0,0,1,1,0,0,0,0.61,1,1
scen_000000,alt_scen_000000_00009,alt_scen_000000_00015,210.0,1,0,0,1,1,0,0,0,0.24,1,1
scen_000000,alt_scen_000000_00009,alt_scen_000000_00016,220.0,1,0,0,1,1,0,0,0,0.71,1,1
scen_000000,alt_scen_000000_00036,alt_scen_000000_00010,1.0,0,0,0,0,0,1,1,1,0.58,1,0
scen_000000,alt_scen_000000_00036,alt_scen_000000_00011,11.0,0,0,0,0,0,1,1,1,0.68,1,0
scen_000000,alt_scen_000000_00036,alt_scen_000000_00012,21.0,0,0,0,0,0,1,1,1,0.57,1,0
scen_000000,alt_scen_000000_00036,alt_scen_000000_00037,26.0,1,0,0,1,1,0,0,0,0.15,1,0
scen_000000,alt_scen_000000_00036,alt_scen_000000_00013,71.0,0,0,0,0,0,1,1,1,0.26,1,0
scen_000000,alt_scen_000000_00036,alt_scen_000000_00014,181.0,0,0,0,0,0,1,1,1,0.71,1,0
scen_000000,alt_scen_000000_00036,alt_scen_000000_00015,201.0,0,0,0,0,0,1,1,1,0.7,1,0
scen_000000,alt_scen_000000_00036,alt_scen_000000_00016,211.0,0,0,0,0,0,1,1,1,0.7,1,0
scen_000000,alt_scen_000000_00036,alt_scen_000000_00018,230.75,0,0,0,0,0,1,1,1,0.11,1,0
scen_000000,alt_scen_000000_00010,alt_scen_000000_00011,10.0,1,0,0,1,1,0,0,0,0.74,1,1
scen_000000,alt_scen_000000_00010,alt_scen_000000_00012,20.0,1,0,0,1,1,0,0,0,0.45,1,1
scen_000000,alt_scen_000000_00010,alt_scen_000000_00037,25.0,0,0,0,0,0,1,1,-1,0.65,1,0
scen_000000,alt_scen_000000_00010,alt_scen_000000_00013,70.0,1,0,0,1,1,0,0,0,0.32,1,1
scen_000000,alt_scen_000000_00010,alt_scen_000000_00014,180.0,1,0,0,1,1,0,0,0,0.72,1,1
scen_000000,alt_scen_000000_00010,alt_scen_000000_00015,200.0,1,0,0,1,1,0,0,0,0.89,1,1
scen_000000,alt_scen_000000_00010,alt_scen_000000_00016,210.0,1,0,0,1,1,0,0,0,0.3,1,1
scen_000000,alt_scen_000000_00010,alt_scen_000000_00018,229.75,1,0,0,1,1,0,0,0,0.73,1,1
scen_000000,alt_scen_000000_00010,alt_scen_000000_00017,230.0,1,0,0,1,1,0,0,0,0.58,1,1
scen_000000,alt_scen_000000_00011,alt_scen_000000_00012,10.0,1,0,0,1,1,0,0,0,0.32,1,1
scen_000000,alt_scen_000000_00011,alt_scen_000000_00037,15.0,0,0,0,0,0,1,1,-1,0.34,1,0
scen_000000,alt_scen_000000_00011,alt_scen_000000_00013,60.0,1,0,0,1,1,0,0,0,0.69,1,1
